문제번호,문제,보기,선택지1,선택지2,선택지3,선택지4,선택지5,정답,해설,용어,용어ID,일련번호
88,A병원의 2024년 병상이용률은?,"<A병원 2024년도 연보 자료>
• 기간: 2024년 (365일)
• 성인·소아용 병상: 500개 (분만실 10병상 포함)
• 신생아용 병상: 50개

[퇴원 및 진료 환자 현황 (명)]
• 총 퇴원환자 - 성인과 소아: 13,500명
• 총 퇴원환자 - 신생아: 1,800명
• 산과 분화항목 - 미분만: 240명
• 산과 분화항목 - 분만: 1,600명
• 산과 분화항목 - 유산: 60명

[재원일수 및 연인원 현황 (일/명)]
• 퇴원환자 총 재원일수 - 성인과 소아: 154,710일
• 퇴원환자 총 재원일수 - 신생아: 7,119일
• 재원환자 연인원수 - 성인과 소아: 121,500명
• 재원환자 연인원수 - 신생아: 16,200명

[사망 현황 (명)]
• 48시간 이전 사망: 100명
• 48시간 이후 사망: 150명
• 모성사망: 10명",59.70%,66.60%,69.90%,83.20%,88.80%,3,"병상이용률 = {재원환자 연인원수 총합 / (이용 가능 병상 수 × 365)} × 100입니다. 연인원 총합은 121,500 + 16,200 = 137,700명이며 가동 병상 수는 (500 + 50 - 10) = 540개이므로, {137,700 / (540 × 365)} × 100 = 69.86%로 약 69.9%입니다.  ",병상가동률(병상이용률),19,64
89,A병원의 2024년 모성사망률은?,"<A병원 2024년도 연보 자료>
• 기간: 2024년 (365일)
• 성인·소아용 병상: 500개 (분만실 10병상 포함)
• 신생아용 병상: 50개

[퇴원 및 진료 환자 현황 (명)]
• 총 퇴원환자 - 성인과 소아: 13,500명
• 총 퇴원환자 - 신생아: 1,800명
• 산과 분화항목 - 미분만: 240명
• 산과 분화항목 - 분만: 1,600명
• 산과 분화항목 - 유산: 60명

[재원일수 및 연인원 현황 (일/명)]
• 퇴원환자 총 재원일수 - 성인과 소아: 154,710일
• 퇴원환자 총 재원일수 - 신생아: 7,119일
• 재원환자 연인원수 - 성인과 소아: 121,500명
• 재원환자 연인원수 - 신생아: 16,200명

[사망 현황 (명)]
• 48시간 이전 사망: 100명
• 48시간 이후 사망: 150명
• 모성사망: 10명",0.34%,0.43%,0.52%,0.54%,0.55%,3,"모성사망률 = {모성사망자 수 / 산과 총 퇴원환자 수} × 100이므로, {10 / (240 + 1,600 + 60)} × 100 = (10 / 1,900) × 100 = 0.52%입니다.  ",모성사망률,1,33
90,A병원의 2024년 평균재원일수는?,"<A병원 2024년도 연보 자료>
• 기간: 2024년 (365일)
• 성인·소아용 병상: 500개 (분만실 10병상 포함)
• 신생아용 병상: 50개

[퇴원 및 진료 환자 현황 (명)]
• 총 퇴원환자 - 성인과 소아: 13,500명
• 총 퇴원환자 - 신생아: 1,800명
• 산과 분화항목 - 미분만: 240명
• 산과 분화항목 - 분만: 1,600명
• 산과 분화항목 - 유산: 60명

[재원일수 및 연인원 현황 (일/명)]
• 퇴원환자 총 재원일수 - 성인과 소아: 154,710일
• 퇴원환자 총 재원일수 - 신생아: 7,119일
• 재원환자 연인원수 - 성인과 소아: 121,500명
• 재원환자 연인원수 - 신생아: 16,200명

[사망 현황 (명)]
• 48시간 이전 사망: 100명
• 48시간 이후 사망: 150명
• 모성사망: 10명",10.1일,10.6일,11.2일,11.5일,11.6일,2,"평균재원일수 = 퇴원환자 총 재원일수 / 총 퇴원환자 수이므로, (154,710 + 7,119) / 15,300 = 161,829 / 15,300 = 10.57일로 약 10.6일입니다.  ",평균재원일수,18,62
91,D병원의 2024년수술 후 사망률은?,"<D병원 2024년도 연보 자료>
• 기간: 2024년 (365일)
• 성인과 소아용 병상: 500개 (분만실 10병상 포함)
• 신생아용 병상: 50개

[기초 입원 및 퇴원 현황 (명)]
• 입원환자 수: 1,987명
• 퇴원환자 수 (사망 포함): 2,112명

[수술 및 진료 현황 (명/건)]
• 수술환자 수: 1,109명
• 수술건수: 1,216건
• 수술 후 48시간 이내 사망: 3명
• 수술 후 10일 이내 사망: 10명
• 수술 후 30일 이내 사망: 5명

[사망 및 부검 현황 (명/건)]
• 총 사망환자 수: 63명
• 48시간 이전 사망환자: 18명
• 48시간 이후 사망환자: 45명
• 부검건수: 8건
• 법적문제로 사체이송 수: 2건
• 퇴원 후 사망환자 부검 수: 1건",0.61%,1.07%,1.17%,1.48%,1.62%,3,"수술 후 사망률 계산 시 '수술 후 10일 이내 발생한 사망자 수'를 포함하므로 3명과 10명을 더한 13명이 분자가 됩니다. 따라서 (13 / 1,109) × 100 = 1.17%입니다.  ",수술 후 사망률,47,47
92,D병원의 2024년 조사망률은?,"<D병원 2024년도 연보 자료>
• 기간: 2024년 (365일)
• 성인과 소아용 병상: 500개 (분만실 10병상 포함)
• 신생아용 병상: 50개

[기초 입원 및 퇴원 현황 (명)]
• 입원환자 수: 1,987명
• 퇴원환자 수 (사망 포함): 2,112명

[수술 및 진료 현황 (명/건)]
• 수술환자 수: 1,109명
• 수술건수: 1,216건
• 수술 후 48시간 이내 사망: 3명
• 수술 후 10일 이내 사망: 10명
• 수술 후 30일 이내 사망: 5명

[사망 및 부검 현황 (명/건)]
• 총 사망환자 수: 63명
• 48시간 이전 사망환자: 18명
• 48시간 이후 사망환자: 45명
• 부검건수: 8건
• 법적문제로 사체이송 수: 2건
• 퇴원 후 사망환자 부검 수: 1건",2%,3%,4%,5%,6%,2,"조사망률 = (사망환자 수 / 총 퇴원환자 수) × 100이므로, (63 / 2,112) × 100 = 2.98%로 약 3%입니다.  ",조사망률(보통사망률),46,77
93,D병원의 2024년 순사망률은?,"<D병원 2024년도 연보 자료>
• 기간: 2024년 (365일)
• 성인과 소아용 병상: 500개 (분만실 10병상 포함)
• 신생아용 병상: 50개

[기초 입원 및 퇴원 현황 (명)]
• 입원환자 수: 1,987명
• 퇴원환자 수 (사망 포함): 2,112명

[수술 및 진료 현황 (명/건)]
• 수술환자 수: 1,109명
• 수술건수: 1,216건
• 수술 후 48시간 이내 사망: 3명
• 수술 후 10일 이내 사망: 10명
• 수술 후 30일 이내 사망: 5명

[사망 및 부검 현황 (명/건)]
• 총 사망환자 수: 63명
• 48시간 이전 사망환자: 18명
• 48시간 이후 사망환자: 45명
• 부검건수: 8건
• 법적문제로 사체이송 수: 2건
• 퇴원 후 사망환자 부검 수: 1건",2.15%,2.29%,2.98%,3.10%,3.60%,1,"순사망률 = {48시간 이후 사망자 수 / (총 퇴원환자 수 - 48시간 이전 사망자 수)} × 100이므로, {45 / (2,112 - 18)} × 100 = 2.15%입니다.  ",순사망률,44,46
94,D병원의 2024년 조부검률은?,"<D병원 2024년도 연보 자료>
• 기간: 2024년 (365일)
• 성인과 소아용 병상: 500개 (분만실 10병상 포함)
• 신생아용 병상: 50개

[기초 입원 및 퇴원 현황 (명)]
• 입원환자 수: 1,987명
• 퇴원환자 수 (사망 포함): 2,112명

[수술 및 진료 현황 (명/건)]
• 수술환자 수: 1,109명
• 수술건수: 1,216건
• 수술 후 48시간 이내 사망: 3명
• 수술 후 10일 이내 사망: 10명
• 수술 후 30일 이내 사망: 5명

[사망 및 부검 현황 (명/건)]
• 총 사망환자 수: 63명
• 48시간 이전 사망환자: 18명
• 48시간 이후 사망환자: 45명
• 부검건수: 8건
• 법적문제로 사체이송 수: 2건
• 퇴원 후 사망환자 부검 수: 1건",12.69%,12.84%,12.98%,13.10%,13.30%,1,"조부검률 = (부검건수 / 총 사망자 수) × 100이므로, (8 / 63) × 100 = 12.69%입니다.  ",조부검률,54,50
95,D병원의 2024년 순부검률은?,"<D병원 2024년도 연보 자료>
• 기간: 2024년 (365일)
• 성인과 소아용 병상: 500개 (분만실 10병상 포함)
• 신생아용 병상: 50개

[기초 입원 및 퇴원 현황 (명)]
• 입원환자 수: 1,987명
• 퇴원환자 수 (사망 포함): 2,112명

[수술 및 진료 현황 (명/건)]
• 수술환자 수: 1,109명
• 수술건수: 1,216건
• 수술 후 48시간 이내 사망: 3명
• 수술 후 10일 이내 사망: 10명
• 수술 후 30일 이내 사망: 5명

[사망 및 부검 현황 (명/건)]
• 총 사망환자 수: 63명
• 48시간 이전 사망환자: 18명
• 48시간 이후 사망환자: 45명
• 부검건수: 8건
• 법적문제로 사체이송 수: 2건
• 퇴원 후 사망환자 부검 수: 1건",9.52%,10.54%,10.98%,13.11%,14.30%,4,"순부검률 = {부검건수 / (총 사망자 수 - 법적문제 사체이송 수)} × 100이므로, {8 / (63 - 2)} × 100 = 13.11%입니다.  ",순부검률,55,51
96,D병원의 2024년 병원부검률은?,"<D병원 2024년도 연보 자료>
• 기간: 2024년 (365일)
• 성인과 소아용 병상: 500개 (분만실 10병상 포함)
• 신생아용 병상: 50개

[기초 입원 및 퇴원 현황 (명)]
• 입원환자 수: 1,987명
• 퇴원환자 수 (사망 포함): 2,112명

[수술 및 진료 현황 (명/건)]
• 수술환자 수: 1,109명
• 수술건수: 1,216건
• 수술 후 48시간 이내 사망: 3명
• 수술 후 10일 이내 사망: 10명
• 수술 후 30일 이내 사망: 5명

[사망 및 부검 현황 (명/건)]
• 총 사망환자 수: 63명
• 48시간 이전 사망환자: 18명
• 48시간 이후 사망환자: 45명
• 부검건수: 8건
• 법적문제로 사체이송 수: 2건
• 퇴원 후 사망환자 부검 수: 1건",10.10%,10.50%,11.90%,12.90%,13.30%,4,"병원부검률 = {(입원부검 + 입원외부검) / (총사망자 + 입원외부검 - 법적문제 이송)} × 100이므로, {(8 + 0) / (63 + 1 - 2)} × 100 = (8 / 62) × 100 = 12.9%입니다. (원문 솔루션 공식 기준 대입값 8/62 반영)  ",병원부검률,56,52
97,G병원의 2024년 사산율은?,"<G병원 2024년도 연보 자료>
• 성인과 소아용 병상: 300개
• 신생아용 병상: 50개

[퇴원 및 진료 환자 현황 (명/건)]
• 퇴원환자 - 성인 및 소아: 178명
• 퇴원환자 - 신생아: 49명
• 출생아 수: 51명
• 분만 수: 61건
• 제왕절개 수: 15건

[사망 및 손실 현황 (명)]
• 사망환자 - 성인 및 소아: 12명
• 사망환자 - 신생아: 2명
• 사망환자 - 사산아: 2명
• 사망환자 - 유산: 5명",3.50%,3.80%,4.10%,4.70%,5.00%,2,"사산율 = {사산아 수 / (출생아수 + 사산아 수)} × 100이므로, {2 / (51 + 2)} × 100 = 3.77%로 반올림하여 3.8%입니다.  ",사산율,53,49
98,G병원의 2024년 신생아사망률은?,"<G병원 2024년도 연보 자료>
• 성인과 소아용 병상: 300개
• 신생아용 병상: 50개

[퇴원 및 진료 환자 현황 (명/건)]
• 퇴원환자 - 성인 및 소아: 178명
• 퇴원환자 - 신생아: 49명
• 출생아 수: 51명
• 분만 수: 61건
• 제왕절개 수: 15건

[사망 및 손실 현황 (명)]
• 사망환자 - 성인 및 소아: 12명
• 사망환자 - 신생아: 2명
• 사망환자 - 사산아: 2명
• 사망환자 - 유산: 5명",3%,4%,5%,6%,7%,2,"신생아사망률 = (신생아 사망 수 / 퇴원 신생아 수) × 100이므로, (2 / 49) × 100 = 4.08%로 약 4%입니다.  ",신생아사망률,3,38
99,G병원의 2024년 제왕절개율은?,"<G병원 2024년도 연보 자료>
• 성인과 소아용 병상: 300개
• 신생아용 병상: 50개

[퇴원 및 진료 환자 현황 (명/건)]
• 퇴원환자 - 성인 및 소아: 178명
• 퇴원환자 - 신생아: 49명
• 출생아 수: 51명
• 분만 수: 61건
• 제왕절개 수: 15건

[사망 및 손실 현황 (명)]
• 사망환자 - 성인 및 소아: 12명
• 사망환자 - 신생아: 2명
• 사망환자 - 사산아: 2명
• 사망환자 - 유산: 5명",9.30%,15.00%,24.60%,29.40%,30.60%,3,"제왕절개율 = (제왕절개 수 / 분만 수) × 100이므로, (15 / 61) × 100 = 24.59%로 약 24.6%입니다.  ",제왕절개율,50,55
100,U병원의 2024년 조사망률로 옳은 것은?,"<U병원 2024년 연보 자료>
• 성인/소아병상: 600개
• 신생아병상: 70개

[퇴원 및 진료 환자 현황 (명)]
• 총 퇴원환자 수 (사망 포함): 16,500명 (성인/소아: 15,500명 / 신생아: 1,000명)
• 산과 분화항목 - 유산: 50명
• 산과 분화항목 - 미분만: 230명
• 산과 분화항목 - 분만: 1,600명
• 제왕절개 수: 400건

[재원일수 및 연인원 현황 (일/명)]
• 퇴원환자 총 재원일수: 312,000일
• 재원환자 연인원수: 130,000명 (성인/소아: 111,000명 / 신생아: 19,000명)

[사망 현황 (명)]
• 48시간 이전 사망: 100명
• 48시간 이후 사망: 90명
• 모성사망: 10명",0.15%,0.55%,0.60%,1.15%,1.21%,4,"조사망률 = (기간 중 총 사망자 수 / 기간 중 총 퇴원환자 수) × 100이므로, (190 / 16,500) × 100 = 1.15%입니다.  ",조사망률(보통사망률),46,77
101,U병원의 2024년 제왕절개율로 옳은 것은?,"<U병원 2024년 연보 자료>
• 성인/소아병상: 600개
• 신생아병상: 70개

[퇴원 및 진료 환자 현황 (명)]
• 총 퇴원환자 수 (사망 포함): 16,500명 (성인/소아: 15,500명 / 신생아: 1,000명)
• 산과 분화항목 - 유산: 50명
• 산과 분화항목 - 미분만: 230명
• 산과 분화항목 - 분만: 1,600명
• 제왕절개 수: 400건

[재원일수 및 연인원 현황 (일/명)]
• 퇴원환자 총 재원일수: 312,000일
• 재원환자 연인원수: 130,000명 (성인/소아: 111,000명 / 신생아: 19,000명)

[사망 현황 (명)]
• 48시간 이전 사망: 100명
• 48시간 이후 사망: 90명
• 모성사망: 10명",2.40%,3.00%,21.00%,21.30%,25.00%,5,"제왕절개율 = (기간 중 제왕절개 수 / 기간 중 총 분만 수) × 100이므로, (400 / 1,600) × 100 = 25.0%입니다.",제왕절개율,50,55
102,U병원의 2024년 신생아병상가동률로 옳은 것은?,"<U병원 2024년 연보 자료>
• 성인/소아병상: 600개
• 신생아병상: 70개

[퇴원 및 진료 환자 현황 (명)]
• 총 퇴원환자 수 (사망 포함): 16,500명 (성인/소아: 15,500명 / 신생아: 1,000명)
• 산과 분화항목 - 유산: 50명
• 산과 분화항목 - 미분만: 230명
• 산과 분화항목 - 분만: 1,600명
• 제왕절개 수: 400건

[재원일수 및 연인원 현황 (일/명)]
• 퇴원환자 총 재원일수: 312,000일
• 재원환자 연인원수: 130,000명 (성인/소아: 111,000명 / 신생아: 19,000명)

[사망 현황 (명)]
• 48시간 이전 사망: 100명
• 48시간 이후 사망: 90명
• 모성사망: 10명",3.90%,14.30%,31.50%,64.60%,74.40%,5,"신생아 병상이용률(가동률) = {신생아 재원환자 연인원 수 / (신생아 총 병상 수 × 기간 중 일수)} × 100이므로, {19,000 / (70 × 365)} × 100 = 74.36%로 약 74.4%입니다.",병상가동률(병상이용률),19,64
103,U병원의 2024년 성인소아병상가동률로 옳은 것은?,"<U병원 2024년 연보 자료>
• 성인/소아병상: 600개
• 신생아병상: 70개

[퇴원 및 진료 환자 현황 (명)]
• 총 퇴원환자 수 (사망 포함): 16,500명 (성인/소아: 15,500명 / 신생아: 1,000명)
• 산과 분화항목 - 유산: 50명
• 산과 분화항목 - 미분만: 230명
• 산과 분화항목 - 분만: 1,600명
• 제왕절개 수: 400건

[재원일수 및 연인원 현황 (일/명)]
• 퇴원환자 총 재원일수: 312,000일
• 재원환자 연인원수: 130,000명 (성인/소아: 111,000명 / 신생아: 19,000명)

[사망 현황 (명)]
• 48시간 이전 사망: 100명
• 48시간 이후 사망: 90명
• 모성사망: 10명",7.07%,25.80%,50.70%,53.20%,59.40%,3,"성인소아 병상이용률 = {성인소아 연인원 수 / (성인소아 총 병상 수 × 기간 중 일수)} × 100이므로, {111,000 / (600 × 365)} × 100 = 50.68%로 약 50.7%입니다.",병상가동률(병상이용률),19,64
104,U병원의 2024년 순사망률로 옳은 것은?,"<U병원 2024년 연보 자료>
• 성인/소아병상: 600개
• 신생아병상: 70개

[퇴원 및 진료 환자 현황 (명)]
• 총 퇴원환자 수 (사망 포함): 16,500명 (성인/소아: 15,500명 / 신생아: 1,000명)
• 산과 분화항목 - 유산: 50명
• 산과 분화항목 - 미분만: 230명
• 산과 분화항목 - 분만: 1,600명
• 제왕절개 수: 400건

[재원일수 및 연인원 현황 (일/명)]
• 퇴원환자 총 재원일수: 312,000일
• 재원환자 연인원수: 130,000명 (성인/소아: 111,000명 / 신생아: 19,000명)

[사망 현황 (명)]
• 48시간 이전 사망: 100명
• 48시간 이후 사망: 90명
• 모성사망: 10명",0.50%,0.60%,0.90%,1.20%,1.30%,2,"순사망률 = {(총 사망자 수 - 48시간 이전 사망자 수) / (총 퇴원환자 수 - 48시간 이전 사망자 수)} × 100이므로, {(190 - 100) / (16,500 - 100)} × 100 = (90 / 16,400) × 100 = 0.54%로 약 0.6%입니다.",순사망률,44,46
105,2024년 U병원의 평균재원일수 계산이 옳은 것은?,"<U병원 2024년 연보 자료>
• 성인/소아병상: 600개
• 신생아병상: 70개

[퇴원 및 진료 환자 현황 (명)]
• 총 퇴원환자 수 (사망 포함): 16,500명 (성인/소아: 15,500명 / 신생아: 1,000명)
• 산과 분화항목 - 유산: 50명
• 산과 분화항목 - 미분만: 230명
• 산과 분화항목 - 분만: 1,600명
• 제왕절개 수: 400건

[재원일수 및 연인원 현황 (일/명)]
• 퇴원환자 총 재원일수: 312,000일
• 재원환자 연인원수: 130,000명 (성인/소아: 111,000명 / 신생아: 19,000명)

[사망 현황 (명)]
• 48시간 이전 사망: 100명
• 48시간 이후 사망: 90명
• 모성사망: 10명","130,000 / 16,500","310,000 / 600","312,000 / 670","312,000 / 16,500","312,000 / 130,000",4,"평균재원일수 = 퇴원환자 총 재원일수 / 총 퇴원환자 수 이므로 312,000 / 16,500 입니다.",평균재원일수,18,62
106,"Y병원은 250병상 규모의 종합병원으로 7월의 재원환자 연인원수는 6,300명이었으며, 퇴원환자수는 777명이다. 이 병원의 7월의 병상이용률로 옳은 것은?",,81.30%,81.40%,84.00%,84.30%,87.10%,1,"병상이용률 = {기간 중 재원환자 연인원 수 / (이용 가능한 총 병상 수 × 기간 중 일수)} × 100입니다. 7월은 31일이므로 계산식은 {6,300 / (250 × 31)} × 100 = 81.29%로 약 81.3%입니다.",병상가동률(병상이용률),19,64
107,다음에서 사산율(still birth rate)은?,"<2024년 Y여성병원>
• 신생아 출생수: 396명
• 사산아수: 4명",0.01%,0.10%,0.80%,1.00%,1.20%,4,"사산율 = {기간 중 총 사산아 수 / 기간 중 출생아 수(신생아 수 + 사산아 수)} × 100이므로, {4 / (396 + 4)} × 100 = 1.0%입니다.",사산율,53,49
108,순부검률의 산출식은?,,(기간 중 병원부검 수 / 입원사망 총수(신생아 포함)) × 100,(입원사망 중 부검 수(신생아 포함) / 입원사망 총수(신생아 포함)) × 100,(기간 중 병원부검 수 / 기간 중 병원부검이 가능한 사망자수) × 100,(법적 문제로 이송된 부검 수 / (기간 중 입원사망 총수 - 법적 문제로 이송된 미부검 총수)) × 100,(기간 중 입원사망 중 부검 수 / (기간 중 입원사망 총수 - 법적 문제로 이송된 미부검 총수)) × 100,5,순부검률은 입원사망 총수에서 법적 문제로 이송되어 미부검된 총수를 뺀 값에 대한 부검 수의 비율입니다.,순부검률,55,51
109,Y병원 2024년의 순사망률이 0.14%이다'를 해설하면?,,사망 퇴원이 전체 퇴원의 0.14%이다.,수술 후 사망 퇴원이 전체 퇴원의 0.14%이다.,DOA를 포함한 사망 퇴원이 전체 퇴원의 0.14%이다.,사산아를 포함한 사망 퇴원이 전체 퇴원의 0.14%이다.,병원 입원 후 48시간 이후 사망 퇴원이 전체 퇴원의 0.14%이다.,5,순사망률이란 기간 중 48시간 이전 사망자를 제외한 총 퇴원 수에 대한 48시간 이후 사망자의 비율을 나타냅니다.,순사망률,44,46
110,병원에 오는 도중 해당 병원 응급차에서 사망한 환자의 분류는?,,입원환자,외래환자,DOA환자,48시간 이내 사망환자,입원 후 48시간 이내 사망환자,3,"병원 도착 전 또는 응급실에서 입원수속을 밟지 않은 채 사망한 환자는 도착 시 사망 환자인 DOA(Dead on Arrival) 환자로 분류하며, 사망률 통계에서 제외됩니다.",환자,582,7
111,Y병원의 2024년 조사망률이 0.2%라는 의미는?,,수술 후 사망 퇴원이 전체 퇴원의 0.2%이다.,DOA를 포함한 사망 퇴원이 전체 퇴원의 0.2%이다.,신생아를 포함한 사망 퇴원이 전체 퇴원의 0.2%이다.,사산아를 포함한 사망 퇴원이 전체 퇴원의 0.2%이다.,병원 입원 후 48시간 이후 사망 퇴원이 전체 퇴원의 0.2%이다.,3,조사망률은 기간 중 총 퇴원환자 수(사망 및 신생아 포함)에 대한 총 사망자 수(신생아 포함)의 비율을 의미합니다.,조사망률(보통사망률),46,77
112,다음과 같은 자료에서 H병원의 2025년 4월 제왕절개율은?,"<H병원: 2025년 4월>
• 산과 퇴원환자: 650명
• 분만 환자: 410명
• 제왕절개에 의한 분만: 80명",12.00%,12.30%,13.00%,19.50%,20.00%,4,"제왕절개율 = (기간 중 제왕절개 수 / 기간 중 총 분만 수) × 100이므로, (80 / 410) × 100 = 19.5%입니다. 다태아 분만 여부나 사산 여부에 상관없이 분만 건수를 기준으로 계산합니다.",제왕절개율,50,55
113,임신 20주 미만인 기간에 태아가 사망한 경우는?,,조산,사산,유산,미숙아,과숙아,3,임신 20주 미만(139일)이거나 태아 체중이 500g 이하일 때 사망하여 만출된 경우를 유산이라고 정의합니다.,유산(낙태),132,15
114,미숙아의 체중의 기준은?,,500g 미만,"1,000g 미만","2,000g 미만","2,500g 미만","3,000g 미만",4,"출생 시 체중에 따른 분류에서 1,000g 이상 ~ 2,500g 미만인 경우를 미숙아(immaturity)라고 합니다.",미숙아(조산아),165,20
115,과숙아의 출생 시 체중 기준은?,,"2,800g 이상","3,800g 이상","4,000g 이상","4,500g 이상","4,800g 이상",4,"출생 시 체중이 4,500g 이상인 경우를 과숙아(exceptionally large baby)의 기준으로 봅니다.",과숙아,168,27
116,산욕기(puerperium)의 기준은?,,분만 후 24시간 이내,분만 후 10일 이내,분만 후 4주 이내,분만 후 6주 이내,분만 후 6주 이후,4,"산후기 또는 산욕기는 분만 후 6주 이내의 기간으로, 자궁이 완전한 퇴축을 이루는 시기입니다.",산욕기(산후기),178,23
117,조기 태아사망을 결정하는 기준은?,,임신 20주 미만,임신 20주 이상~28주 미만,임신 28주 이상,태아체중 501 g 이하,"태아체중 501 g 이상~1,000g 미만",1,"태아 체중 501g 미만, 임신 기간 20주 미만에서 사망한 경우를 조기 태아사망(early fetal death)이라고 정의합니다.",태아사망,156,36
118,정상출생아로 분류되는 기준은?,,임신 36주에 출생,"체중 2,400 g으로 출생","임신 36주, 체중 2,400g으로 출생","임신 41주, 체중 2,700g으로 출생","임신 43주, 체중 2,400g으로 출생",4,"정상출생아(정상분만)는 임신 37~42주 미만, 체중 2,500~4,500g 미만의 범위를 충족해야 합니다.",출생아,584,
119,임신 26주에 자궁 내에서 사망한 태아사망(fetal death)은?,,Early fetal death,Intermediate fetal death,Late fetal death,Postpartum,Premature,2,"임신 20주 이상 ~ 28주 미만이면서 체중 501g 이상 ~ 1,000g 미만인 태아 사망은 중기 태아사망(Intermediate fetal death)에 해당합니다.",태아사망,156,36
120,"출생 시 체중이 1,000 g 미만인 신생아는?",,Exceptionally large baby,Extreme immaturity,Immaturity,Mature infant,Prematurity,2,"출생 시 체중이 1,000g 미만인 경우를 극도미숙아(Extreme immaturity)라고 부릅니다.",극도 미숙아(극단적 조산아),169,20
121,"임신 27주 기간에, 체중 950g으로 출생한 신생아는?",,Exceptionally large baby,Extremely immaturity,Immaturity,Post-term infant,Prematurity,2,"임신기간 28주 미만이고 체중 1,000g 미만인 경우 임신기간 기준 '극단적 조산아(Extremely immaturity)' 및 체중 기준 '극도미숙아'에 속합니다.",극도 미숙아(극단적 조산아),169,24
122,정상 질식 분만한 경우 이상출혈의 기준 수치는?,,500 cc 이상,800 cc 이상,"1,000 cc 이상","1,500 cc 이상","1,800 cc 이상",1,"분만 후 이상출혈(산후출혈)의 기준은 정상 질식 분만의 경우 500 cc 이상이며, 제왕절개의 경우 1,000 cc 이상입니다.",,,
123,조산(pre-term)을 정의하는 임신 기간의 기준은?,,27주 미만,34주 미만,35주 미만,37주 미만,38주 미만,4,조산(pre-term infant)은 임신 기간 37주 미만인 경우를 정의하는 기준이 됩니다.,조산,145,20
124,정상분만으로 분류되는 임신기간은?,,28~42주 미만,36~42주 미만,36~45주 미만,37~42주 미만,37~45주 미만,4,정상분만(만기아)으로 분류되는 임신 기간의 정확한 기준은 37주 이상 ~ 42주 미만입니다.,임신만기,201,13
125,모성사망률을 계산할 때 제외되는 것은?,,유산 중 사망,분만 중 사망,분만 후 합병증으로 사망,산과와 부인과 총 퇴원 수,분만 직후 과다출혈로 사망,4,모성사망률은 산과적 원인에 의한 사망을 다루므로 분모에 부인과 퇴원 수는 포함되지 않고 '산과 총 퇴원 수'만 반영됩니다.,모성사망률,1,33
126,모성사망률은 무엇에 대한 모성사망 수의 비율인가?,,총 분만 수,산과 총 퇴원 수,산부인과 퇴원 수,총 분만 수+ 유산 수,총 분만 수+ 미분만 수,2,모성사망률은 '기간 중 모성사망 수 / 기간 중 산과 총 퇴원 수(사망 포함)'로 계산되는 비율입니다.,모성사망률,1,33
127,병원에서 모성사망률 계산 시 포함하는 경우는?,,병원 분만 중 사망,임신 32주에 교통사고로 사망,임신 36주에 당뇨악화로 사망,분만 후 10주에 뇌출혈로 사망,분만 후 8주에 감전 사고로 사망,1,"병원통계에서의 모성사망률은 재원 중 발생한 '직접모성사망(산과적 합병증으로 인한 사망)'만을 포함하므로 병원 분만 중 사망이 해당됩니다. 당뇨악화는 간접모성사망이며, 교통사고나 감전사고 등 우발적 사고는 제외됩니다.",모성사망률,1,33
128,모성사망에 관한 내용으로 옳은 것은?,,기간과 관계없이 분만 후 사망한 경우는 모성사망이다.,임산부가 감염병에 걸려 사망한 경우는 직접모성사망이다.,임신으로 인한 합병증으로 사망한 경우는 간접모성사망이다.,병원통계에서는 재원 중 발생한 직접모성사망만을 모성사망으로 분류한다.,임신 전 진단받은 당뇨병이 임신 후 악화되어 사망한 경우는 직접모성사망이다.,4,"병원 진료통계에서는 입원하여 재원 중인 기간 내에 발생한 직접모성사망(임신, 분만, 산욕 합병증)만을 모성사망으로 분류합니다. 기왕증(당뇨 등)의 악화는 간접모성사망입니다.",모성사망,149,33
129,모성사망에 해당하는 것은?,,임신 중 낙상으로 사망,임신 중 교통사고로 사망,분만 후 8주에 출혈로 사망,임신 중 임신중독증으로 사망,분만 후 7주에 원인불명의 사망,4,"임신중독증은 임신과 직접 관련된 대표적인 산과적 합병증이므로 모성사망에 해당합니다. 사고사(낙상, 교통사고)나 분만 후 6주(42일)를 초과한 사망은 모성사망에서 제외됩니다.",직접모성사망(직접 산과적 사망),151,34
130,다음 설명에 맞는 용어는?,"임신기간에 상관없이 모체로부터 수태의 산물이 완전히 분리 또는 이탈하기 전의 사망, 즉, 심박동, 제대의 맥박, 수의근 운동과 같은 살아 있는 징후가 없거나 호흡을 하지 않는 상태",모성 사망,태아 사망,영아 사망,신생아 사망,주산기 사망,2,제시된 지문은 모체로부터 완전히 분리되기 전에 살아있는 징후 없이 사망한 상태인 태아 사망(fetal death)에 대한 정의입니다.,태아,155,18
131,사산아와 신생아사망률을 포함한 용어는?,,태아 사망(fetal death),영아 사망(infant death),모성 사망(maternal death),신생아 사망(neonatal death),주산기 사망(perinatal period death),5,사산아(태아 사망 일부)와 신생아 사망을 모두 포함하여 보건 수준을 나타내는 통계 용어는 주산기 사망(perinatal period death)입니다.,주산기,176,40
132,신생아사망률은 무엇에 대한 신생아 사망 수의 비율인가?,,총 분만 수,총 사망 수,총 신생아 수,총 출생아 수,신생아 퇴원 총수,5,신생아사망률은 '기간 중 신생아 사망 수 / 기간 중 신생아 퇴원 수(사망 포함)'로 계산되므로 분모는 신생아 퇴원 총수가 됩니다.,신생아사망률,3,38
